time,Communicating,Exception Handling,Paperwork,Maintenance Of Way Interactions,Temporary Speed Restrictions,Signal Response Management,Monitoring Inside,Monitoring Outside,Planning Ahead
0 min,0.8138579138647,0,0.11514418146117,0,0.010691232487755,0,0,0,0
10 min,0.81576010999688,0,0.14742445734413,0,0.010596250495961,0,0,0,0
20 min,0.83865053045465,0,0.15822963703649,0,0.010963720040658,0,0,0,0
30 min,0.15905133635225,0,0.16231203025265,0,0.0092029103876096,0,0,0,0
40 min,0.08964730667228,0,0.076268866209814,0,0.01031727871956,0,0,0,0
50 min,0.083090460859941,0,0.056545537567208,0,0.010927395236991,0,0,0,0
60 min,0.1704680476423,0,0.10202400715103,0,0.022026385901653,0,0,0,0
70 min,0.16510300866712,0,0.091629473640454,0,0.021586502628072,0,0,0,0
80 min,0.16562979613827,0,0.10163474877263,0,0.019102988588731,0,0,0,0
90 min,0.42329651241811,0,0.17914238638459,0,0.019358791853439,0,0,0,0
100 min,0.62810150758402,0,0.44876765323531,0,0.022962297240303,0,0,0,0
110 min,0.71826477385183,0,0.57108867514154,0,0.025920784548095,0,0,0,0
