time,Communicating,Exception Handling,Paperwork,Maintenance Of Way Interactions,Temporary Speed Restrictions,Signal Response Management,Monitoring Inside,Monitoring Outside,Planning Ahead
0 min,0.1270922715252,0.00018986061624805,0.10571713483252,0.0018938655648673,0.0082441553905974,0.010048352127197,0.014017898369567,0.016466364609899,0.0034406500831564
10 min,0.12461261749178,0.00051476638588838,0.12429726933352,0.0022862597492094,0.0085750386029624,0.029080827257595,0.026040378143285,0.01791803570145,0.0082828752783229
20 min,0.12656497945029,0.00067459004933154,0.11982598036949,0.0025085230138497,0.0089193824759506,0.032581778070497,0.028023520541728,0.016403791135322,0.012230289712989
30 min,0.024827180872339,0.001425717606518,0.092187789547995,0.0026059929796194,0.0089831373651054,0.038694007054245,0.032259605005594,0.021857271485158,0.020009756300717
40 min,0.013369140977718,0.0007727625012909,0.052537286935472,0.0026562899127455,0.0083305126601086,0.050183258790238,0.033400143119125,0.027586373228228,0.030551235592805
50 min,0.012841272592862,0.001483337753718,0.044355841583563,0.0022903388060971,0.0088473715449438,0.061426384211347,0.033566968623827,0.029321619646581,0.037452467843685
60 min,0.026341245177126,0.0014438511450724,0.072882816420452,0.0046279213543107,0.016982208970135,0.10500697027807,0.028822406341843,0.056591485647408,0.065675853781887
70 min,0.026476518637197,0.0017059992039357,0.084005600059758,0.0058825092106199,0.016829397725671,0.12664075951893,0.028002998130296,0.061067645701506,0.071102773827211
80 min,0.02616602718542,0.0022220401171427,0.080013957655311,0.0052997996564574,0.017674066702619,0.1395844610401,0.029305494919213,0.061310176592133,0.07316266827582
90 min,0.067471022366487,0.00347018601664,0.17083792418292,0.0060086587491301,0.016878449393879,0.095232219378519,0.026681417570574,0.080691062415928,0.062768005519665
100 min,0.095558956598103,0.001509883530355,0.34575470962911,0.0053059013411351,0.016863456698178,0.029097590485023,0.019282894849064,0.088689087712828,0.045509817964097
110 min,0.099476762486266,0.00088837932694629,0.41793838419619,0.0043163940843916,0.016827241333577,0.017252084568582,0.014608250521475,0.086959177081329,0.036052296002988
